datetime,open,high,low,close,volume
2022-04-09,109.82,113.69,108.18,112.89,5902477.0
2022-04-10,112.89,116.0,109.61,111.04,7295683.0
2022-04-11,111.03,111.86,97.98,99.62,14793289.0
2022-04-12,99.61,109.26,98.23,103.17,15291714.0
2022-04-13,103.16,105.97,100.02,104.89,11418170.0
2022-04-14,104.9,107.72,98.71,100.72,10852684.0
2022-04-15,100.71,102.89,99.5,101.33,6751197.0
2022-04-16,101.35,103.46,100.62,102.02,5001743.0
2022-04-17,102.01,105.45,99.52,100.08,8059001.0
2022-04-18,100.09,102.64,94.6,102.35,12777531.0
2022-04-19,102.34,108.77,101.01,108.45,10332680.0
2022-04-20,108.45,110.92,104.17,105.52,10567360.0
2022-04-21,105.51,109.96,99.76,101.69,10894912.0
2022-04-22,101.7,103.53,99.17,100.5,8603985.0
2022-04-23,100.52,102.87,98.25,100.61,5619164.0
2022-04-24,100.6,102.24,98.5,99.13,5752342.0
2022-04-25,99.15,101.59,94.1,100.94,11992200.0
2022-04-26,100.95,102.0,94.5,95.65,9883811.0
2022-04-27,95.66,100.72,94.82,98.3,9300153.0
2022-04-28,98.3,100.54,96.23,98.18,8849393.0
2022-04-29,98.18,98.66,92.26,93.94,7536732.0
2022-04-30,93.94,94.95,81.67,84.5,8575614.0
2022-05-01,84.51,93.16,84.0,89.61,10483398.0
2022-05-02,89.61,90.85,85.02,87.44,8842773.0
2022-05-03,87.44,88.79,84.58,85.81,5748943.0
2022-05-04,85.82,93.1,85.42,92.7,9386594.0
2022-05-05,92.7,95.22,81.05,84.48,13780385.0
2022-05-06,84.47,84.78,79.79,81.63,11726372.0
2022-05-07,81.64,82.29,77.0,78.8,7750477.0
2022-05-08,78.8,79.36,73.58,75.34,11858880.0
2022-05-09,75.34,77.19,61.61,62.08,27684716.0
2022-05-10,62.07,73.99,60.0,66.83,31795763.0
2022-05-11,66.83,68.44,43.06,50.84,48303489.0
2022-05-12,50.85,54.33,37.1,44.63,56691055.0
2022-05-13,44.64,56.37,43.81,48.88,32943655.0
2022-05-14,48.88,53.94,45.75,52.4,20221240.0
2022-05-15,52.4,59.29,49.57,58.8,17821126.0
2022-05-16,58.8,58.8,51.8,53.77,22140006.0
2022-05-17,53.78,58.2,53.0,57.0,19937437.0
2022-05-18,57.01,57.83,49.34,49.92,19348761.0
2022-05-19,49.91,54.06,48.07,52.18,24662199.0
2022-05-20,52.18,53.62,47.76,49.41,25283753.0
2022-05-21,49.4,51.2,48.36,50.27,12313932.0
2022-05-22,50.27,53.16,49.64,52.44,12729438.0
2022-05-23,52.44,54.66,48.56,49.14,19904405.0
2022-05-24,49.13,50.83,47.04,49.66,17662688.0
2022-05-25,49.65,50.54,47.53,47.95,15918475.0
2022-05-26,47.95,48.65,41.56,43.41,31944688.0
2022-05-27,43.41,43.92,39.91,41.15,37585417.0
2022-05-28,41.15,45.1,40.3,44.22,18317303.0
2022-05-29,44.22,45.66,41.77,44.95,20540692.0
2022-05-30,44.95,48.58,44.24,47.21,24302104.0
2022-05-31,47.21,48.23,44.52,45.76,20880840.0
2022-06-01,45.75,46.12,39.49,40.09,25819704.0
2022-06-02,40.09,41.7,38.1,40.84,32212216.0
2022-06-03,40.84,41.52,37.55,38.24,27140271.0
2022-06-04,38.25,39.55,35.65,38.99,27617082.0
2022-06-05,38.99,40.22,37.81,38.51,26334769.0
2022-06-06,38.5,44.99,38.31,42.35,44719001.0
2022-06-07,42.36,42.77,37.06,39.28,51749410.0
2022-06-08,39.29,40.94,38.24,38.8,25924339.0
2022-06-09,38.81,41.96,38.4,39.95,25905188.0
2022-06-10,39.94,40.9,36.73,37.12,28065208.0
2022-06-11,37.13,37.91,33.13,33.91,32583858.0
2022-06-12,33.92,34.5,30.53,30.56,45670821.0
2022-06-13,30.56,31.09,26.0,28.58,102202032.0
2022-06-14,28.58,32.21,25.81,29.56,76559650.0
2022-06-15,29.57,34.87,26.75,34.72,78806086.0
2022-06-16,34.72,36.26,29.52,30.1,64037750.0
2022-06-17,30.09,32.11,29.21,30.7,41934041.0
2022-06-18,30.71,32.0,27.09,31.98,61563165.0
2022-06-19,31.98,35.43,28.67,34.16,64172010.0
2022-06-20,34.17,36.9,31.7,35.22,57195766.0
2022-06-21,35.23,39.25,34.18,36.39,55239261.0
2022-06-22,36.39,36.86,33.62,34.11,46199415.0
2022-06-23,34.11,38.69,33.88,38.15,47466482.0
2022-06-24,38.14,42.91,37.64,41.89,42221178.0
2022-06-25,41.89,42.61,39.72,42.21,31102600.0
2022-06-26,42.2,42.49,39.1,39.36,28379658.0
2022-06-27,39.36,41.28,37.8,38.5,29487738.0
2022-06-28,38.5,39.88,35.05,35.32,37783221.0
2022-06-29,35.31,36.1,33.09,34.02,40638255.0
2022-06-30,34.02,34.19,30.79,33.73,44784872.0
2022-07-01,33.73,35.39,31.79,32.83,44965929.0
2022-07-02,32.83,34.15,31.83,33.34,23178184.0
2022-07-03,33.35,33.71,32.12,33.37,19106717.0
2022-07-04,33.37,36.95,32.41,36.71,29675528.0
2022-07-05,36.71,36.97,33.06,35.37,37977932.0
2022-07-06,35.37,37.65,34.77,37.01,36312383.0
2022-07-07,37.02,39.26,36.36,38.44,28461790.0
2022-07-08,38.44,39.7,36.42,38.1,36439992.0
2022-07-09,38.1,38.99,37.74,38.02,17024013.0
2022-07-10,38.02,38.12,36.24,36.7,17373581.0
2022-07-11,36.69,36.72,33.22,33.39,24553003.0
2022-07-12,33.38,34.6,32.56,32.65,26443855.0
2022-07-13,32.65,35.08,31.7,34.93,33316937.0
2022-07-14,34.92,37.31,33.52,37.12,26697987.0
2022-07-15,37.11,39.09,36.51,37.35,26111584.0
2022-07-16,37.35,40.41,36.33,39.57,23932775.0
2022-07-17,39.57,41.09,38.26,38.58,22619821.0
2022-07-18,38.58,44.1,38.53,43.53,33149985.0
2022-07-19,43.53,47.4,42.54,44.86,41838827.0
2022-07-20,44.85,46.32,41.21,42.02,34238745.0
2022-07-21,42.02,44.06,39.61,43.11,35494480.0
2022-07-22,43.11,44.34,40.01,40.49,26611172.0
2022-07-23,40.49,41.91,38.59,39.95,21126177.0
2022-07-24,39.95,42.08,39.44,40.91,18745458.0
2022-07-25,40.91,41.09,36.53,36.64,26561982.0
2022-07-26,36.63,36.82,34.64,36.22,26574196.0
2022-07-27,36.22,40.56,35.64,40.21,28543829.0
2022-07-28,40.2,44.16,39.01,42.9,32095274.0
2022-07-29,42.91,44.42,41.09,41.9,27577032.0
2022-07-30,41.9,46.64,41.41,43.83,25178431.0
2022-07-31,43.84,45.18,42.18,42.32,18965991.0
2022-08-01,42.31,43.23,40.52,41.61,20280148.0
2022-08-02,41.62,42.43,39.42,39.73,22955028.0
2022-08-03,39.73,41.0,37.39,38.52,48398769.0
2022-08-04,38.52,39.83,37.9,38.81,23717637.0
2022-08-05,38.81,41.32,38.65,40.55,21226093.0
2022-08-06,40.55,40.9,39.83,40.04,11318037.0
2022-08-07,40.03,41.59,39.15,40.59,11959783.0
2022-08-08,40.6,43.72,40.53,42.15,21401541.0
2022-08-09,42.14,42.76,39.68,40.3,19698484.0
2022-08-10,40.3,42.85,39.11,42.45,25436194.0
2022-08-11,42.45,45.32,42.32,42.75,31721354.0
2022-08-12,42.75,45.49,42.1,45.46,22504477.0
2022-08-13,45.45,48.38,45.23,46.57,32325766.0
2022-08-14,46.58,48.05,44.43,44.86,24816330.0
2022-08-15,44.85,47.24,42.71,43.7,26402675.0
2022-08-16,43.69,44.3,42.5,43.06,22628772.0
2022-08-17,43.05,44.74,40.13,40.51,28858267.0
2022-08-18,40.52,41.63,39.25,39.48,21599618.0
2022-08-19,39.48,39.56,34.38,35.79,39089747.0
2022-08-20,35.79,37.23,34.15,35.25,26034812.0
2022-08-21,35.25,37.04,34.26,36.45,20928069.0
2022-08-22,36.45,36.54,33.7,35.39,26701372.0
2022-08-23,35.39,36.09,34.22,35.66,19414878.0
2022-08-24,35.66,36.39,34.27,34.85,19471591.0
2022-08-25,34.85,36.51,34.84,35.22,17592172.0
2022-08-26,35.23,35.77,31.31,31.68,32190703.0
2022-08-27,31.68,32.22,30.82,31.5,18665019.0
2022-08-28,31.49,32.18,30.14,30.38,15488187.0
2022-08-29,30.38,32.62,29.9,32.39,23624146.0
