datetime,open,high,low,close,volume
2024-10-26,24.908,25.663,24.528,25.388,4067120.0
2024-10-27,25.388,25.928,25.225,25.744,2428364.0
2024-10-28,25.744,26.522,25.033,26.252,5980239.0
2024-10-29,26.252,27.153,26.167,26.869,5664103.0
2024-10-30,26.869,26.898,25.979,26.161,5614366.0
2024-10-31,26.161,26.212,24.657,24.999,5846338.0
2024-11-01,25.0,25.7,24.371,24.773,6126937.0
2024-11-02,24.772,25.002,23.935,24.101,3190017.0
2024-11-03,24.101,24.191,22.589,23.517,7109219.0
2024-11-04,23.517,23.915,22.322,22.717,7022332.0
2024-11-05,22.718,24.47,22.583,23.973,6223957.0
2024-11-06,23.972,27.329,23.972,27.007,11594766.0
2024-11-07,27.007,28.02,26.52,27.395,8529341.0
2024-11-08,27.395,28.801,27.113,28.788,8948376.0
2024-11-09,28.789,30.51,28.48,30.389,9789343.0
2024-11-10,30.386,33.324,29.691,31.904,16852303.0
2024-11-11,31.905,35.838,30.727,35.748,17223715.0
2024-11-12,35.75,37.736,32.686,33.971,24726013.0
2024-11-13,33.972,35.078,31.226,33.13,20430353.0
2024-11-14,33.135,34.748,30.676,31.207,12278492.0
2024-11-15,31.206,33.316,30.578,33.132,10410609.0
2024-11-16,33.132,35.76,32.778,35.172,10245777.0
2024-11-17,35.175,37.304,33.101,34.738,15122883.0
2024-11-18,34.742,36.185,34.021,35.509,11465514.0
2024-11-19,35.509,35.669,33.522,34.224,8936433.0
2024-11-20,34.227,35.78,32.773,33.598,11082130.0
2024-11-21,33.6,36.244,32.312,35.873,11817383.0
2024-11-22,35.876,43.701,35.215,43.208,22478877.0
2024-11-23,43.208,45.318,40.719,41.463,21299339.0
2024-11-24,41.464,43.192,38.264,42.083,16297661.0
2024-11-25,42.091,47.954,40.056,41.335,24945608.0
2024-11-26,41.333,43.4,38.51,42.752,17941520.0
2024-11-27,42.75,44.494,41.95,43.819,14364088.0
2024-11-28,43.813,44.303,41.509,42.806,9055684.0
2024-11-29,42.805,45.098,42.565,44.886,8510698.0
2024-11-30,44.886,46.306,43.672,44.845,8909634.0
2024-12-01,44.845,45.85,43.619,45.145,8607501.0
2024-12-02,45.143,52.53,45.044,52.312,33893038.0
2024-12-03,52.313,53.99,47.866,50.931,23825496.0
2024-12-04,50.932,55.86,50.872,52.815,19474592.0
2024-12-05,52.813,53.699,48.35,50.314,16349392.0
2024-12-06,50.32,53.632,49.64,52.517,11451581.0
2024-12-07,52.518,53.14,51.241,51.632,6735169.0
2024-12-08,51.633,54.46,50.384,54.024,9425040.0
2024-12-09,54.025,54.266,39.6,44.98,24260330.0
2024-12-10,44.981,46.466,41.3,44.589,19357347.0
2024-12-11,44.588,48.45,42.806,48.446,10144649.0
2024-12-12,48.446,55.407,48.179,53.124,19705763.0
2024-12-13,53.129,54.005,50.614,52.781,11677374.0
2024-12-14,52.782,53.837,49.348,49.83,9079190.0
2024-12-15,49.83,51.385,48.064,50.765,9835859.0
2024-12-16,50.763,52.045,48.284,48.979,11078598.0
2024-12-17,48.979,50.864,47.51,47.898,11138959.0
2024-12-18,47.898,48.178,42.0,42.75,14786223.0
2024-12-19,42.753,43.585,37.416,38.807,19170664.0
2024-12-20,38.808,40.355,33.578,39.835,20051069.0
2024-12-21,39.834,42.33,36.902,37.408,13079236.0
2024-12-22,37.409,38.526,35.521,36.557,11429998.0
2024-12-23,36.556,39.722,35.6,39.083,13508064.0
2024-12-24,39.083,42.036,37.684,41.217,10454073.0
2024-12-25,41.217,41.866,39.8,40.236,6443785.0
2024-12-26,40.236,40.709,36.944,37.309,8508964.0
2024-12-27,37.308,39.028,36.274,36.552,8677603.0
2024-12-28,36.553,38.139,36.265,37.731,4508190.0
2024-12-29,37.731,37.791,35.51,35.818,4718538.0
2024-12-30,35.818,37.172,34.862,35.966,9050255.0
2024-12-31,35.965,37.292,34.909,35.688,6908014.0
2025-01-01,35.689,37.991,34.935,37.771,6011399.0
2025-01-02,37.771,40.597,37.77,39.276,7623278.0
2025-01-03,39.276,42.2,38.9,41.955,8097393.0
2025-01-04,41.954,42.843,40.869,42.624,5663717.0
2025-01-05,42.624,43.216,41.24,43.112,5091903.0
2025-01-06,43.113,45.062,42.025,44.048,7840134.0
2025-01-07,44.048,44.58,39.092,39.187,9839327.0
2025-01-08,39.189,39.909,36.166,37.4,11190389.0
2025-01-09,37.399,37.925,35.479,36.177,8612100.0
2025-01-10,36.178,37.915,35.934,36.646,7347781.0
2025-01-11,36.645,37.772,36.0,37.114,3950319.0
2025-01-12,37.114,37.626,36.08,36.54,4033055.0
2025-01-13,36.539,37.351,32.602,35.27,13223340.0
